UniqueID,State_ID,State,Dist_ID,District,PCA_T_Pop,PCA_Tot_M,PCA_Tot_F,PCA_Tot_SC,PCA_Tot_ST,PCA_Tot_Ur,PCA_Tot_Ru,C08_Tot_Ch,C08_Tot_M,C08_Tot_F,C08_Tot_SC,C08_Tot_ST,C08_Tot_Ur,C08_Tot_Ru,2016_Pop_s,2020_Pop_s
"71","23",MadyaPradesh,"435",Ujjain,"1986864","1016289","970575","523869","48730","779213","1207651","344335","178372","165963","98328","9758","119269","225066",2152598.000000000000000,2309266.000000000000000
"72","23",MadyaPradesh,"434",Ratlam,"1455069","738241","716828","198612","409865","435031","1020038","267311","136967","130344","36508","90535","67634","199677",1519080.000000000000000,1604579.000000000000000
"73","23",MadyaPradesh,"422",Datia,"786754","420157","366597","200270","15061","181982","604772","144214","77051","67163","38596","3398","31551","112663",994179.000000000000000,1056636.000000000000000
"74","23",MadyaPradesh,"433",Mandsaur,"1340411","682851","657560","249024","33092","277604","1062807","234804","121139","113665","46977","6873","43281","191523",1368762.000000000000000,1441742.000000000000000
"75","23",MadyaPradesh,"436",Shajapur,"1512681","780520","732161","353914","37836","293548","1219133","284625","146901","137724","71278","7960","52013","232612",1489350.000000000000000,1595353.000000000000000
"76","23",MadyaPradesh,"441",Barwani,"1385881","699340","686541","87991","962145","204069","1181812","302524","152053","150471","18184","226334","36131","266393",1075080.000000000000000,1372859.000000000000000
"77","23",MadyaPradesh,"458",Guna,"1241519","649362","592157","193115","190819","312675","928844","253171","131808","121363","41567","43555","57501","195670",1355843.999999999767169,1445221.000000000000000
"78","23",MadyaPradesh,"418",Sheopur,"687861","361784","326077","108391","161448","107352","580509","141737","74678","67059","21999","37744","20466","121271",1020710.000000000116415,712268.000000000000000
"79","23",MadyaPradesh,"465",Alirajpur,"728999","362542","366457","26877","648638","57074","671925","170194","86044","84150","6255","155056","10392","159802",809471.000000000000000,787075.000000000000000
"80","23",MadyaPradesh,"464",Jhabua,"1025048","515023","510025","17427","891818","91983","933065","231628","119486","112142","3382","210204","16332","215296",1020220.000000000000000,1147143.000000000000000
"81","8",Rajasthan,"128",Baran,"1222755","633945","588810","221184","276857","254214","968541","229594","120421","109173","42272","55529","45407","184187",1102483.000000000000000,1402553.000000000000000
"82","8",Rajasthan,"118",Pali,"2037573","1025422","1012151","398096","144578","460006","1577567","392144","205301","186843","81578","30740","81098","311046",2133788.000000000000000,2276920.000000000000000
"83","8",Rajasthan,"108",Sawai Madhopur,"1335551","704031","631520","278789","285848","266467","1069084","260258","138413","121845","56139","55387","47574","212684",1419838.000000000000000,1540281.000000000000000
"84","8",Rajasthan,"107",Karauli,"1458248","783639","674609","354465","324960","218105","1240143","297978","162112","135866","76448","65309","42548","255430",1267198.000000000000000,1567490.000000000000000
"85","23",MadyaPradesh,"442",Rajgarh,"1545814","790212","755602","295718","53751","276457","1269357","295880","151446","144434","61656","11342","50189","245691",1598384.000000000000000,1705701.000000000000000
"86","23",MadyaPradesh,"425",Chhatarpur,"1762375","936121","826254","405313","73597","399016","1363359","359244","188436","170808","91526","17344","71868","287376",1893369.000000000000000,2021305.000000000000000
"87","8",Rajasthan,"110",Jaipur,"6626178","3468507","3157671","1003302","527966","3471847","3154331","1193583","634390","559193","196749","108408","564310","629273",7691835.000000000000000,7539446.000000000000000
"88","23",MadyaPradesh,"423",Shivpuri,"1726050","919795","806255","321515","227802","295423","1430627","349369","184322","165047","67384","52124","52097","297272",1812673.000000000000000,1888869.000000000000000
"89","8",Rajasthan,"105",Bharatpur,"2548462","1355726","1192736","557305","54090","495099","2053363","513021","276200","236821","117196","10165","88883","424138",2666958.000000000000000,2854827.000000000000000
"90","23",MadyaPradesh,"440",Khargone (West Nimar),"1873046","953121","919925","209091","730169","298856","1574190","369531","186537","182994","40062","171747","50547","318984",2213475.000000000000000,2111494.000000000000000
"91","23",MadyaPradesh,"447",Betul,"1575362","799236","776126","159296","667018","309151","1266211","275013","138641","136372","25178","138465","44323","230690",1559563.000000000000000,1669499.000000000000000
"92","8",Rajasthan,"102",Churu,"2039547","1051446","988101","451721","11245","576235","1463312","402357","211325","191032","96817","2193","108191","294166",1693099.000000000000000,2247614.000000000000000
"93","23",MadyaPradesh,"419",Morena,"1965970","1068417","897553","421519","17030","470462","1495508","384316","210613","173703","87382","4067","86098","298218",1734064.000000000000000,2224355.000000000000000
"94","23",MadyaPradesh,"420",Bhind,"1703005","926843","776162","374799","6131","432922","1270083","313119","171304","141815","73405","1246","78224","234895",1843059.999999999767169,1946650.000000000000000
"95","8",Rajasthan,"99",Ganganagar,"1969168","1043340","925828","720412","13477","535432","1433736","335801","181505","154296","140750","2476","83950","251851",2123061.000000000000000,2135189.000000000000000
"96","23",MadyaPradesh,"467",Burhanpur,"757847","388504","369343","64254","230095","260287","497560","141686","72969","68717","11162","53419","42159","99527",612476.000000000000000,826195.000000000000000
"97","23",MadyaPradesh,"466",Khandwa (East Nimar),"1310061","674329","635732","156601","459122","259436","1050625","249827","128613","121214","29343","103158","42604","207223",1546266.000000000000000,1462789.000000000000000
"98","23",MadyaPradesh,"445",Sehore,"1311332","683743","627589","271281","145512","248462","1062870","256000","133023","122977","55242","33723","43055","212945",1398220.000000000232831,1510155.000000000000000
"99","3",Punjab,"41",Ludhiana,"3498739","1867816","1630923","923358","0","2069708","1429031","496084","274277","221807","147147","0","293908","202176",3582259.000000000000000,3713161.000000000000000
"100","23",MadyaPradesh,"457",Balaghat,"1701698","842178","859520","125426","383026","244816","1456882","280634","141483","139151","18901","70777","36171","244463",1763415.000000000000000,1867626.000000000000000
"101","23",MadyaPradesh,"455",Chhindwara,"2090922","1064468","1026454","232244","769778","505183","1585739","354200","180260","173940","36400","150767","73489","280711",2215684.000000000000000,2356856.000000000000000
"102","23",MadyaPradesh,"456",Seoni,"1379131","695879","683252","130797","519856","163890","1215241","241134","120954","120180","21717","99543","24367","216767",1371007.000000000000000,1460835.000000000000000
"103","3",Punjab,"48",Patiala,"1895686","1002522","893164","465359","0","763280","1132406","267623","150401","117222","78038","0","99571","168052",1932012.000000000232831,2085557.000000000000000
"104","3",Punjab,"40",Fatehgarh Sahib,"600163","320795","279368","192493","0","185482","414681","81815","46079","35736","30029","0","25424","56391",546727.000000000000000,646205.000000000000000
"105","23",MadyaPradesh,"454",Mandla,"1054905","525272","529633","48425","610528","130189","924716","179839","90244","89595","7748","109184","18921","160918",1184513.000000000000000,1175434.000000000000000
"106","5",Uttarkhand,"61",Garhwal,"687271","326829","360442","122361","2215","112703","574568","117295","60469","56826","24522","424","18082","99213",773241.000000000000000,835992.000000000000000
"107","23",MadyaPradesh,"462",Sidhi,"1127033","575912","551121","130202","313304","93121","1033912","232576","118544","114032","29960","67879","17837","214739",1138004.000000000000000,1218323.999999999767169
"108","3",Punjab,"52",S.A.S. Nagar,"994628","529253","465375","216231","0","544611","450017","139425","78407","61018","35198","0","72671","66754",922031.000000000000000,1032484.000000000000000
"109","23",MadyaPradesh,"453",Dindori,"704524","351913","352611","39782","455789","32318","672206","122629","61133","61496","6789","81213","5069","117560",635689.999999999883585,782035.000000000000000
"110","23",MadyaPradesh,"461",Anuppur,"749237","379114","370123","74385","358543","205241","543996","131788","66336","65452","14008","64278","34615","97173",898225.999999999883585,1076268.000000000000000
"111","5",Uttarkhand,"64",Almora,"622506","291081","331425","150995","1281","62314","560192","108445","55038","53407","30084","184","8340","100105",685763.000000000000000,683644.000000000000000
"112","23",MadyaPradesh,"460",Shahdol,"1066063","540021","526042","89733","476008","219600","846463","195313","98314","96999","17350","92223","35228","160085",830467.000000000000000,907641.999999999883585
"113","3",Punjab,"36",Kapurthala,"815168","426311","388857","276707","0","282462","532706","117719","65762","51957","45087","0","38437","79282",850817.999999999883585,862039.000000000000000
"114","23",MadyaPradesh,"463",Singrauli,"1178273","613637","564636","150664","383994","226786","951487","250625","127860","122765","33470","85997","42881","207744",1231139.999999999767169,1309941.000000000000000
"115","3",Punjab,"49",Amritsar,"2490656","1318408","1172248","770864","0","1334611","1156045","364644","204240","160404","134080","0","179301","185343",2493727.000000000000000,2633028.000000000000000
"116","23",MadyaPradesh,"430",Rewa,"2365106","1225100","1140006","383508","311985","395785","1969321","460945","239839","221106","86344","68197","69787","391158",2591907.000000000000000,2752750.000000000000000
"117","23",MadyaPradesh,"427",Sagar,"2378458","1256257","1122201","501630","221936","708796","1669662","443943","230130","213813","99223","47119","115666","328277",2593159.000000000000000,2771264.000000000000000
"118","21",Odisha,"399",Malkangiri,"613192","303624","309568","138295","354614","49528","563664","120130","60239","59891","26270","73035","8568","111562",744160.000000000000000,649628.000000000000000
"119","23",MadyaPradesh,"429",Satna,"2228935","1157495","1071440","398569","319975","474418","1754517","430809","223596","207213","85695","67483","83960","346849",2368312.000000000465661,2563491.000000000000000
"120","23",MadyaPradesh,"459",Ashoknagar,"845071","443837","401234","175764","82072","153684","691387","170973","89025","81948","37611","18403","28719","142254",905577.000000000000000,972196.000000000000000
"121","5",Uttarkhand,"67",Udham Singh Nagar,"1648902","858783","790119","238264","123037","586760","1062142","309861","163896","145965","50377","21517","106060","203801",1821061.000000000000000,1846287.000000000000000
"122","21",Odisha,"398",Koraput,"1379647","678809","700838","196540","697583","226169","1153478","254759","126669","128090","37282","139536","34704","220055",1434030.000000000000000,1482317.000000000000000
"123","23",MadyaPradesh,"426",Panna,"1016520","533480","483040","207990","170879","125335","891185","206755","107071","99684","45257","37838","22579","184176",1037088.000000000000000,1114086.000000000000000
"124","5",Uttarkhand,"57",Chamoli,"391605","193991","197614","79317","12260","59396","332209","68164","34995","33169","16111","1572","9487","58677",518292.999999999941792,421688.000000000000000
"125","23",MadyaPradesh,"424",Tikamgarh,"1445166","760355","684811","361604","67857","249873","1195293","285712","148949","136763","75065","15027","45392","240320",1478218.000000000000000,1605955.999999999767169
"126","5",Uttarkhand,"56",Uttarkashi,"330086","168597","161489","80567","3512","24305","305781","63005","32610","30395","16779","505","4208","58797",402920.999999999941792,372636.999999999941792
"127","23",MadyaPradesh,"450",Katni,"1292042","662013","630029","155717","317699","263543","1028499","240729","123060","117669","30716","65285","41381","199348",1195511.000000000000000,1362270.000000000000000
"128","23",MadyaPradesh,"428",Damoh,"1264219","661873","602346","246337","166295","250551","1013668","236888","122375","114513","48158","35221","40645","196243",1461093.000000000000000,1533547.000000000000000
"129","23",MadyaPradesh,"421",Gwalior,"2032036","1090327","941709","393068","72133","1273792","758244","349166","191154","158012","72863","15569","198588","150578",1945982.000000000000000,2053613.000000000000000
"130","23",MadyaPradesh,"451",Jabalpur,"2463289","1277278","1186011","348029","375231","1440034","1023255","378811","196705","182106","57648","68160","200765","178046",2615945.000000000000000,2660682.000000000000000
"131","23",MadyaPradesh,"431",Umaria,"644758","330674","314084","58147","300687","110544","534214","124568","63399","61169","11326","61741","19002","105566",844523.000000000000000,750047.000000000000000
"132","21",Odisha,"396",Rayagada,"967911","471960","495951","139514","541905","146966","820945","185348","93401","91947","27468","113425","21774","163574",835220.000000000000000,1039017.999999999883585
"133","23",MadyaPradesh,"452",Narsimhapur,"1091854","568810","523044","184155","145879","203540","888314","179989","93512","86477","32830","26890","30814","149175",1084958.000000000000000,1141927.000000000000000
"134","23",MadyaPradesh,"443",Vidisha,"1458875","769568","689307","292144","67603","339618","1119257","296206","152912","143294","64438","15115","61017","235189",1442881.000000000000000,1572262.000000000000000
"135","5",Uttarkhand,"58",Rudraprayag,"242285","114589","127696","47679","386","9925","232360","43988","22654","21334","10218","62","1543","42445",174755.000000000000000,280612.000000000000000
"136","23",MadyaPradesh,"444",Bhopal,"2371061","1236130","1134931","357516","69429","1917051","454010","381826","199669","182157","65014","12638","288962","92864",2558484.000000000000000,2709321.000000000000000
"137","23",MadyaPradesh,"446",Raisen,"1331597","700358","631239","225891","205006","303425","1028172","260338","134324","126014","46353","46531","55602","204736",1291330.000000000000000,1418582.000000000000000
"138","23",MadyaPradesh,"449",Hoshangabad,"1241350","648725","592625","205007","197300","389986","851364","212231","110065","102166","36879","40486","57456","154775",1223002.000000000000000,1298245.000000000000000
"139","23",MadyaPradesh,"439",Indore,"3276697","1699627","1577070","545239","217679","2427709","848988","509574","268200","241374","92903","45504","356919","152655",3526172.000000000000000,3701678.000000000000000
"140","23",MadyaPradesh,"448",Harda,"570465","294838","275627","92865","159678","119364","451101","105135","54435","50700","17598","35662","19626","85509",608679.000000000000000,630668.000000000000000
"141","23",MadyaPradesh,"437",Dewas,"1563715","805359","758356","292007","272701","451759","1111956","288889","149417","139472","56019","62319","75585","213304",1691673.000000000000000,1843601.000000000000000
"142","21",Odisha,"389",Gajapati,"577817","282882","294935","39175","313714","70666","507151","110208","55314","54894","6663","67325","11114","99094",615398.000000000116415,572966.000000000000000
"143","23",MadyaPradesh,"438",Dhar,"2185793","1112725","1073068","145436","1222814","413221","1772572","432083","221324","210759","27742","268683","70680","361403",2203792.000000000000000,2415641.000000000000000
"144","21",Odisha,"388",Ganjam,"3529031","1779218","1749813","688235","118928","768001","2761030","597073","301792","295281","127993","24424","108364","488709",3626315.000000000000000,3740031.000000000000000
"145","5",Uttarkhand,"60",Dehradun,"1696694","892199","804495","228901","111663","941941","754753","260937","140481","120456","40098","21592","134245","126692",1725494.000000000000000,1803442.000000000000000
"146","5",Uttarkhand,"59",Tehri Garhwal,"618931","297986","320945","102130","875","70139","548792","115656","59936","55720","22318","138","11934","103722",503756.999999999941792,694117.000000000000000
"147","5",Uttarkhand,"62",Pithoragarh,"483439","239306","244133","120378","19535","69605","413834","82098","43267","38831","23729","2973","12034","70064",531689.000000000000000,554825.000000000000000
"148","5",Uttarkhand,"63",Bageshwar,"259898","124326","135572","72061","1982","9079","250819","45114","22969","22145","14323","279","1425","43689",222263.000000000000000,287120.000000000000000
"149","5",Uttarkhand,"66",Nainital,"954605","493666","460939","191206","7495","371734","582871","158504","83801","74703","35161","1293","58015","100489",720969.000000000000000,965617.000000000000000
"150","5",Uttarkhand,"65",Champawat,"259648","131125","128523","47383","1339","38343","221305","49719","25678","24041","10068","226","6773","42946",373838.000000000000000,394094.000000000000000
"151","5",Uttarkhand,"68",Haridwar,"1890422","1005295","885127","411274","6323","693094","1197328","350408","189448","160960","82443","1240","108531","241877",1894915.999999999767169,2024119.000000000000000
"152","21",Odisha,"397",Nabarangapur,"1220946","604812","616134","177384","681173","87625","1133321","236928","118229","118699","33314","139682","15266","221662",1409035.000000000000000,1329397.000000000000000
"153","22",Chhattisgarh,"403",Raigarh,"1493984","750278","743706","224942","505609","246302","1247682","244546","124095","120451","39132","87842","37025","207521",1325939.000000000000000,1528739.999999999767169
"154","22",Chhattisgarh,"402",Jashpur,"851669","424747","426922","48844","530378","75992","775677","144575","72461","72114","8375","90656","13302","131273",999501.000000000000000,963360.000000000000000
"155","22",Chhattisgarh,"410",Raipur,"4063872","2048186","2015686","724250","476446","1483289","2580583","711942","361982","349960","140420","86253","232765","479177",3627117.000000000000000,4026863.000000000000000
"156","22",Chhattisgarh,"416",Dakshin Bastar Dantewada,"533638","264142","269496","12996","410255","96233","437405","106783","55536","51247","2287","87112","16988","89795",637391.000000000000000,598845.000000000000000
